                             List of tables
       Schema       |           Name           |    Type     |  Owner   
--------------------+--------------------------+-------------+----------
 Lines              | AwardTitleLine           | table       | postgres
 Lines              | CastTitleLine            | table       | postgres
 Lines              | CertificateTitleLine     | table       | postgres
 Lines              | CompanyTitleLine         | table       | postgres
 Lines              | ConnectionTitleLine      | table       | postgres
 Lines              | CountryTitleLine         | table       | postgres
 Lines              | FileTitleLine            | table       | postgres
 Lines              | GenreTitleLine           | table       | postgres
 Lines              | KnownAsTitleLine         | table       | postgres
 Lines              | LanguageTitleLine        | table       | postgres
 Lines              | SimilaritiesTitleLine    | table       | postgres
 MonitorPackages    | MonitorPackage1          | table       | postgres
 MonitorPackages    | MonitorPackage2          | table       | postgres
 MonitorPackages    | MonitorPackage3          | table       | postgres
 MonitorPackages    | MonitorPackage4          | table       | postgres
 References         | AwardEventRef            | table       | postgres
 References         | AwardNominationTypeRef   | table       | postgres
 References         | CastTypeRef              | table       | postgres
 References         | CategoryRef              | table       | postgres
 References         | CertificateCountryRef    | table       | postgres
 References         | CertificateRef           | table       | postgres
 References         | ConnectionTypeRef        | table       | postgres
 References         | CountryRef               | table       | postgres
 References         | DisplayRef               | table       | postgres
 References         | GenreRef                 | table       | postgres
 References         | LanguageRef              | table       | postgres
 References         | ParentGuideRef           | table       | postgres
 References         | QualityRef               | table       | postgres
 References         | RecordRef                | table       | postgres
 References         | TitleTypeRef             | table       | postgres
 Tables             | CastTable                | table       | postgres
 Tables             | CompanyTable             | table       | postgres
 Tables             | NotDownloaded            | table       | postgres
 Tables             | RequestedTitles          | table       | postgres
 Tables             | TitleTable               | table       | postgres
 Tables             | ToBeUpdated              | table       | postgres
 information_schema | sql_features             | table       | postgres
 information_schema | sql_implementation_info  | table       | postgres
 information_schema | sql_parts                | table       | postgres
 information_schema | sql_sizing               | table       | postgres
 pg_catalog         | pg_aggregate             | table       | postgres
 pg_catalog         | pg_am                    | table       | postgres
 pg_catalog         | pg_amop                  | table       | postgres
 pg_catalog         | pg_amproc                | table       | postgres
 pg_catalog         | pg_attrdef               | table       | postgres
 pg_catalog         | pg_attribute             | table       | postgres
 pg_catalog         | pg_auth_members          | table       | postgres
 pg_catalog         | pg_authid                | table       | postgres
 pg_catalog         | pg_cast                  | table       | postgres
 pg_catalog         | pg_class                 | table       | postgres
 pg_catalog         | pg_collation             | table       | postgres
 pg_catalog         | pg_constraint            | table       | postgres
 pg_catalog         | pg_conversion            | table       | postgres
 pg_catalog         | pg_database              | table       | postgres
 pg_catalog         | pg_db_role_setting       | table       | postgres
 pg_catalog         | pg_default_acl           | table       | postgres
 pg_catalog         | pg_depend                | table       | postgres
 pg_catalog         | pg_description           | table       | postgres
 pg_catalog         | pg_enum                  | table       | postgres
 pg_catalog         | pg_event_trigger         | table       | postgres
 pg_catalog         | pg_extension             | table       | postgres
 pg_catalog         | pg_foreign_data_wrapper  | table       | postgres
 pg_catalog         | pg_foreign_server        | table       | postgres
